,COMPOUND,YEAR,stateFIPS,COUNTY_CODE,LOW_ESTIMATE,HIGH_ESTIMATE,county,STATE,incidence_rate_per_100k,avg_annual_count,recent_trend,five_year_incidence_change_rate,incidence_rate_per_100k_low_95,incidence_rate_per_100k_high_95,five_year_incidence_change_rate_low_95,five_year_incidence_change_rate_high_95
76,Glyphosate,2014,1,77,75703.3,75816.4,Lauderdale County,AL,423.7 ,524,stable,1.8 ,407.1,440.9,-1.6,5.4
77,Glyphosate,2015,1,77,47409.8,48021.6,Lauderdale County,AL,423.7 ,524,stable,1.8 ,407.1,440.9,-1.6,5.4
78,Glyphosate,2014,1,79,88861.9,89082.7,Lawrence County,AL,470.5 ,203,stable,0.8 ,441.1,501.4,-10.8,13.9
79,Glyphosate,2015,1,79,59525.2,60219.2,Lawrence County,AL,470.5 ,203,stable,0.8 ,441.1,501.4,-10.8,13.9
80,Glyphosate,2014,1,81,847.3,1203.3,Lee County,AL,403.2 ,548,stable,0.0 ,387.9,419.1,-6.4,6.9
81,Glyphosate,2015,1,81,2356.5,2412.2,Lee County,AL,403.2 ,548,stable,0.0 ,387.9,419.1,-6.4,6.9
82,Glyphosate,2014,1,83,121949.8,122052.6,Limestone County,AL,472.1 ,484,stable,0.2 ,453.1,491.7,-4.8,5.4
83,Glyphosate,2015,1,83,90923.4,91500.1,Limestone County,AL,472.1 ,484,stable,0.2 ,453.1,491.7,-4.8,5.4
84,Glyphosate,2014,1,85,5016.2,5083.0,Lowndes County,AL,513.3 ,71,rising,11.2 ,459.8,571.8,6.3,16.3
85,Glyphosate,2015,1,85,9210.6,9688.5,Lowndes County,AL,513.3 ,71,rising,11.2 ,459.8,571.8,6.3,16.3
86,Glyphosate,2014,1,87,8286.2,8348.3,Macon County,AL,471.3 ,121,stable,11.4 ,432.7,512.7,-3.7,28.9
87,Glyphosate,2015,1,87,4974.4,5049.9,Macon County,AL,471.3 ,121,stable,11.4 ,432.7,512.7,-3.7,28.9
88,Glyphosate,2014,1,89,111547.9,111623.4,Madison County,AL,446.7 ,"1,762",stable,2.1 ,437.3,456.3,-0.9,5.3
89,Glyphosate,2015,1,89,73471.8,73929.5,Madison County,AL,446.7 ,"1,762",stable,2.1 ,437.3,456.3,-0.9,5.3
90,Glyphosate,2014,1,91,4088.8,4106.2,Marengo County,AL,454.5 ,119,stable,0.1 ,417.5,494.0,-4.2,4.6
91,Glyphosate,2015,1,91,7498.0,7634.1,Marengo County,AL,454.5 ,119,stable,0.1 ,417.5,494.0,-4.2,4.6
92,Glyphosate,2014,1,93,3403.7,3467.9,Marion County,AL,471.3 ,201,stable,-0.3 ,441.5,502.7,-6.3,6.2
93,Glyphosate,2015,1,93,2109.4,2417.3,Marion County,AL,471.3 ,201,stable,-0.3 ,441.5,502.7,-6.3,6.2
94,Glyphosate,2014,1,95,5962.9,5963.4,Marshall County,AL,450.2 ,512,stable,-0.6 ,432.6,468.4,-4.3,3.3
95,Glyphosate,2015,1,95,14764.3,14767.6,Marshall County,AL,450.2 ,512,stable,-0.6 ,432.6,468.4,-4.3,3.3
96,Glyphosate,2014,1,97,41361.5,41527.8,Mobile County,AL,445.8 ,"2,145",falling,-1.9 ,437.2,454.5,-3.8,-0.1
97,Glyphosate,2015,1,97,19742.6,20078.0,Mobile County,AL,445.8 ,"2,145",falling,-1.9 ,437.2,454.5,-3.8,-0.1
98,Glyphosate,2014,1,99,34015.1,34155.4,Monroe County,AL,440.1 ,127,stable,-2.3 ,405.4,477.2,-8.9,4.8
99,Glyphosate,2015,1,99,30791.5,30961.0,Monroe County,AL,440.1 ,127,stable,-2.3 ,405.4,477.2,-8.9,4.8
100,Glyphosate,2014,1,101,9479.9,9543.6,Montgomery County,AL,434.4 ,"1,073",stable,2.2 ,422.6,446.4,0.0,4.3
101,Glyphosate,2015,1,101,9050.8,9362.7,Montgomery County,AL,434.4 ,"1,073",stable,2.2 ,422.6,446.4,0.0,4.3
102,Glyphosate,2014,1,103,16826.0,16926.2,Morgan County,AL,466.7 ,688,stable,0.2 ,450.9,482.9,-4.1,4.6
103,Glyphosate,2015,1,103,12166.4,12691.2,Morgan County,AL,466.7 ,688,stable,0.2 ,450.9,482.9,-4.1,4.6
104,Glyphosate,2014,1,105,8015.4,8073.1,Perry County,AL,425.5 ,51,stable,1.4 ,372.5,484.1,-10.4,14.7
105,Glyphosate,2015,1,105,13826.8,14472.3,Perry County,AL,425.5 ,51,stable,1.4 ,372.5,484.1,-10.4,14.7
106,Glyphosate,2014,1,107,3294.0,3294.5,Pickens County,AL,437.5 ,115,stable,2.1 ,401.3,476.4,-12.1,18.5
107,Glyphosate,2015,1,107,4646.7,4722.0,Pickens County,AL,437.5 ,115,stable,2.1 ,401.3,476.4,-12.1,18.5
108,Glyphosate,2014,1,109,4717.8,4717.9,Pike County,AL,453.0 ,156,stable,2.0 ,420.9,487.0,-6.3,11.1
109,Glyphosate,2015,1,109,6159.2,6165.1,Pike County,AL,453.0 ,156,stable,2.0 ,420.9,487.0,-6.3,11.1
110,Glyphosate,2014,1,111,1036.3,1036.6,Randolph County,AL,435.7 ,135,stable,-3.9 ,402.3,471.4,-11.3,4.2
111,Glyphosate,2015,1,111,799.3,964.2,Randolph County,AL,435.7 ,135,stable,-3.9 ,402.3,471.4,-11.3,4.2
112,Glyphosate,2014,1,113,5102.5,5103.3,Russell County,AL,480.2 ,300,stable,-4.0 ,455.7,505.7,-7.8,0.0
113,Glyphosate,2015,1,113,4390.8,4408.5,Russell County,AL,480.2 ,300,stable,-4.0 ,455.7,505.7,-7.8,0.0
114,Glyphosate,2014,1,115,803.8,803.9,St. Clair County,AL,474.0 ,486,stable,-0.1 ,454.9,493.8,-3.1,3.1
115,Glyphosate,2015,1,115,842.2,848.4,St. Clair County,AL,474.0 ,486,stable,-0.1 ,454.9,493.8,-3.1,3.1
116,Glyphosate,2014,1,117,2665.0,2665.1,Shelby County,AL,420.1 ,939,stable,-3.8 ,407.9,432.7,-8.5,1.1
117,Glyphosate,2015,1,117,4698.3,4755.8,Shelby County,AL,420.1 ,939,stable,-3.8 ,407.9,432.7,-8.5,1.1
118,Glyphosate,2014,1,119,2581.3,2610.5,Sumter County,AL,456.7 ,71,stable,0.5 ,407.7,510.2,-4.1,5.3
119,Glyphosate,2015,1,119,3619.0,4201.4,Sumter County,AL,456.7 ,71,stable,0.5 ,407.7,510.2,-4.1,5.3
120,Glyphosate,2014,1,121,10535.8,10535.8,Talladega County,AL,449.8 ,454,stable,-1.0 ,430.9,469.2,-5.8,4.1
